Bin Center (us),n/ep,err
8.2,0.001682,7.42621e-05
8.24,0.00175741,7.59086e-05
8.28,0.0016361,7.32418e-05
8.32,0.00158692,7.21326e-05
8.36,0.00165577,7.36808e-05
8.4,0.0015738,7.18339e-05
8.44,0.00153446,7.09303e-05
8.48,0.00164266,7.33884e-05
8.52,0.00158364,7.2058e-05
8.56,0.00167544,7.41172e-05
8.6,0.00151151,7.03978e-05
8.64,0.00143609,6.86192e-05
8.68,0.00146232,6.9243e-05
8.72,0.001482,6.97072e-05
8.76,0.00126888,6.45007e-05
8.8,0.00136724,6.6954e-05
8.84,0.00148528,6.97843e-05
8.88,0.00144265,6.87757e-05
8.92,0.0013115,6.55751e-05
8.96,0.00143937,6.86975e-05
9,0.00142626,6.83838e-05
9.04,0.00149511,7.0015e-05
9.08,0.00140331,6.78314e-05
9.12,0.00143937,6.86975e-05
9.16,0.00134757,6.64706e-05
9.2,0.00129511,6.51639e-05
9.24,0.00131806,6.57388e-05
9.28,0.00127216,6.45839e-05
9.32,0.00122297,6.33232e-05
9.36,0.00119674,6.26405e-05
9.4,0.00122953,6.34928e-05
9.44,0.00115084,6.14274e-05
9.48,0.00119019,6.24686e-05
9.52,0.00113773,6.10764e-05
9.56,0.00114101,6.11643e-05
9.6,0.00116724,6.18634e-05
9.64,0.00110822,6.02791e-05
9.68,0.00107215,5.92902e-05
9.72,0.00109182,5.98316e-05
9.76,0.00108855,5.97417e-05
9.8,0.00104592,5.85604e-05
9.84,0.00107543,5.93807e-05
9.88,0.0011115,6.03682e-05
9.92,0.00102297,5.79143e-05
9.96,0.00105904,5.89264e-05
10,0.00104592,5.85604e-05
10.04,0.00101313,5.76352e-05
10.08,0.00106232,5.90176e-05
10.12,0.00103609,5.82844e-05
10.16,0.000881985,5.37755e-05
10.2,0.000977068,5.66001e-05
10.24,0.00102297,5.79143e-05
10.28,0.00106559,5.91086e-05
10.32,0.000977068,5.66001e-05
10.36,0.000914772,5.4766e-05
10.4,0.00101641,5.77284e-05
10.44,0.000927887,5.51572e-05
10.48,0.000849197,5.27665e-05
10.52,0.000904936,5.44707e-05
