Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
297.5,0,0,0,0,0,0,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,5.2877e-06,4.76627e-06,1.07459e-05,7.34083e-06
298.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,0,0,-3.58196e-06,1.6019e-06
299.5,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,3.30481e-06,3.30481e-06,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,-6.60963e-07,6.60963e-07,5.73113e-06,5.16597e-06
300.5,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,2.86557e-06,3.65289e-06
301.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-2.86557e-06,1.43278e-06
302.5,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.60963e-07,6.60963e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,3.30481e-06,3.30481e-06,7.16391e-07,3.85789e-06
303.5,0,0,-1.3115e-06,9.27371e-07,0,0,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,2.14917e-06,3.72248e-06
304.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,-1.32193e-06,9.34742e-07,-4.29835e-06,1.75479e-06
305.5,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,2.14917e-06,3.72248e-06
306.5,0,0,0,0,0,0,0,0,2.623e-06,3.34369e-06,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,2.14917e-06,3.72248e-06
307.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,-1.3115e-06,9.27371e-07,0,0,-4.29835e-06,1.75479e-06
308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,0,0,0,0,2.86557e-06,3.65289e-06
309.5,0,0,2.623e-06,3.34369e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,0,0,-6.60963e-07,6.60963e-07,8.5967e-06,6.327e-06
310.5,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,-7.16391e-07,7.16391e-07
311.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,-7.16391e-07,7.16391e-07
312.5,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,0,0,-1.3115e-06,9.27371e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,0,0,2.86557e-06,5.36098e-06
313.5,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,-1.32193e-06,9.34742e-07,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,1.43278e-06,3.79079e-06
314.5,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,2.14917e-06,3.72248e-06
315.5,0,0,0,0,0,0,0,0,-1.96725e-06,1.13579e-06,0,0,3.27875e-06,3.27875e-06,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,0,0,2.623e-06,3.34369e-06,0,0,6.44752e-06,6.44752e-06
316.5,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,-6.55751e-07,6.55751e-07,0,0,3.27875e-06,3.27875e-06,0,0,1.98289e-06,3.43446e-06,6.44752e-06,6.44752e-06
317.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-1.43278e-06,1.01313e-06
318.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,-6.60963e-07,6.60963e-07,1.43278e-06,3.79079e-06
319.5,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,3.30481e-06,3.30481e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.60963e-07,6.60963e-07,1.43278e-06,3.79079e-06
320.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,2.14917e-06,3.72248e-06
321.5,-1.3115e-06,9.27371e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,3.30481e-06,3.30481e-06,3.58196e-06,5.3129e-06
322.5,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,-3.58196e-06,1.6019e-06
323.5,0,0,3.27875e-06,3.27875e-06,0,0,0,0,3.27875e-06,3.27875e-06,-6.60963e-07,6.60963e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,6.60963e-06,4.67371e-06,1.2895e-05,7.2352e-06
324.5,0,0,0,0,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,-6.60963e-07,6.60963e-07,7.16391e-07,3.85789e-06
325.5,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58196e-06,3.58196e-06
326.5,0,0,0,0,0,0,2.623e-06,3.34369e-06,0,0,0,0,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,-1.3115e-06,9.27371e-07,-6.60963e-07,6.60963e-07,3.58196e-06,5.3129e-06
327.5,0,0,0,0,0,0,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,0,0,0,0,0,0,6.44752e-06,5.11606e-06
