Bin Center (us),n/ep,err
10.88,0.00079736,6.04529e-06
10.92,0.000798918,6.05119e-06
10.96,0.000779576,5.9775e-06
11,0.00077206,5.94861e-06
11.04,0.000762297,5.91088e-06
11.08,0.000749235,5.86002e-06
11.12,0.000750014,5.86306e-06
11.16,0.000741168,5.82839e-06
11.2,0.000733285,5.79731e-06
11.24,0.000732918,5.79586e-06
11.28,0.000726868,5.77189e-06
11.32,0.000713256,5.71758e-06
11.36,0.000694464,5.64176e-06
11.4,0.000700377,5.66573e-06
11.44,0.000694602,5.64232e-06
11.48,0.000680989,5.58676e-06
11.52,0.000674343,5.55943e-06
11.56,0.000664306,5.5179e-06
11.6,0.000656056,5.48353e-06
11.64,0.000653627,5.47337e-06
11.68,0.000642031,5.4246e-06
11.72,0.000641344,5.4217e-06
11.76,0.000626814,5.35993e-06
11.8,0.00063346,5.38827e-06
11.84,0.000620077,5.33105e-06
11.88,0.000615173,5.30993e-06
11.92,0.000607885,5.27838e-06
11.96,0.000599315,5.24104e-06
12,0.000598673,5.23823e-06
12.04,0.000593356,5.21492e-06
12.08,0.000584327,5.17509e-06
12.12,0.00058914,5.19636e-06
12.16,0.00058254,5.16717e-06
12.2,0.000569752,5.11014e-06
12.24,0.000562373,5.07694e-06
12.28,0.000565673,5.09182e-06
12.32,0.000551373,5.02704e-06
12.36,0.000549127,5.0168e-06
12.4,0.000536386,4.95825e-06
12.44,0.000533452,4.94467e-06
12.48,0.00052864,4.92232e-06
12.52,0.00052149,4.88892e-06
12.56,0.00051929,4.8786e-06
12.6,0.000524056,4.90094e-06
12.64,0.000502652,4.79981e-06
12.68,0.000507969,4.82512e-06
12.72,0.000501827,4.79587e-06
12.76,0.000487573,4.72726e-06
12.8,0.000489682,4.73747e-06
12.84,0.000488123,4.72993e-06
12.88,0.000484502,4.71235e-06
12.92,0.000476573,4.67364e-06
12.96,0.000480194,4.69136e-06
13,0.000469057,4.63663e-06
13.04,0.000462457,4.6039e-06
13.08,0.000459386,4.58858e-06
13.12,0.000455765,4.57047e-06
13.16,0.00046209,4.60207e-06
13.2,0.000445178,4.51707e-06
13.24,0.000437569,4.4783e-06
13.28,0.000432482,4.45219e-06
13.32,0.000436057,4.47056e-06
13.36,0.000439586,4.48861e-06
13.4,0.000429411,4.43636e-06
13.44,0.000420794,4.39162e-06
13.48,0.000415799,4.36547e-06
13.52,0.000412453,4.34787e-06
13.56,0.000414561,4.35897e-06
13.6,0.000407136,4.31976e-06
13.64,0.000399849,4.28093e-06
13.68,0.000395219,4.25607e-06
