Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
17.875,8.75801e-08,9.40441e-08,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,1.7516e-07,1.32998e-07
18.125,0,0,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,-1.87672e-08,1.08352e-08
18.375,9.38358e-08,9.38358e-08,-1.87672e-08,1.08352e-08,-1.87672e-08,1.08352e-08,5.63015e-08,9.50787e-08
18.625,-6.25572e-09,6.25572e-09,9.38358e-08,9.38358e-08,0,0,8.75801e-08,9.40441e-08
18.875,0,0,-1.87672e-08,1.08352e-08,0,0,-1.87672e-08,1.08352e-08
19.125,9.38358e-08,9.38358e-08,0,0,-1.25114e-08,8.84692e-09,8.13244e-08,9.42519e-08
19.375,-1.87672e-08,1.08352e-08,0,0,-1.25114e-08,8.84692e-09,-3.12786e-08,1.39882e-08
19.625,8.75801e-08,9.40441e-08,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
19.875,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,0,0,-1.25114e-08,8.84692e-09
sum,3.62018e-05,2.37366e-06,2.91329e-05,2.40453e-06,2.69371e-05,1.82613e-06,9.22719e-05,3.84068e-06
ep,1.06569e+07,3264.49,1.06569e+07,3264.49,1.06569e+07,3264.49
